tamanho,estado,rodada,tempo_execucao,comparacoes,movimentacoes
100,1,1,0.000002,99,0
100,1,2,0.000001,99,0
100,1,3,0.000001,99,0
100,1,4,0.000001,99,0
100,1,5,0.000000,99,0
100,2,1,0.000039,4779,2629
100,2,2,0.000037,4935,2718
100,2,3,0.000032,4922,2116
100,2,4,0.000036,4950,2417
100,2,5,0.000035,4884,2385
100,3,1,0.000046,4950,4950
100,3,2,0.000046,4950,4950
100,3,3,0.000046,4950,4950
100,3,4,0.000046,4950,4950
100,3,5,0.000046,4950,4950
1000,1,1,0.000002,999,0
1000,1,2,0.000002,999,0
1000,1,3,0.000002,999,0
1000,1,4,0.000001,999,0
1000,1,5,0.000002,999,0
1000,2,1,0.002927,499065,257648
1000,2,2,0.002711,499422,248089
1000,2,3,0.004378,497904,256080
1000,2,4,0.007291,499065,256952
1000,2,5,0.002949,499472,252813
1000,3,1,0.012995,499500,499500
1000,3,2,0.005136,499500,499500
1000,3,3,0.011098,499500,499500
1000,3,4,0.005154,499500,499500
1000,3,5,0.004426,499500,499500
10000,1,1,0.000009,9999,0
10000,1,2,0.000021,9999,0
10000,1,3,0.000009,9999,0
10000,1,4,0.000009,9999,0
10000,1,5,0.000009,9999,0
10000,2,1,0.311055,49977980,25019848
10000,2,2,0.328367,49977795,24750506
10000,2,3,0.288443,49964372,25173870
10000,2,4,0.300275,49984704,24883008
10000,2,5,0.278404,49989435,24986883
10000,3,1,0.485284,49995000,49995000
10000,3,2,0.504362,49995000,49995000
10000,3,3,0.494386,49995000,49995000
10000,3,4,0.457905,49995000,49995000
10000,3,5,0.490812,49995000,49995000
100000,1,1,0.000090,99999,0
100000,1,2,0.000081,99999,0
100000,1,3,0.000082,99999,0
100000,1,4,0.000102,99999,0
100000,1,5,0.000086,99999,0
100000,2,1,41.265160,4999842120,2501224393
100000,2,2,29.330407,4999921320,2491927661
100000,2,3,21.676387,4999947074,2489956464
100000,2,4,20.920040,4999800669,2497028644
100000,2,5,21.381995,4999773879,2507768129
100000,3,1,25.557827,4999950000,4999950000
100000,3,2,23.751335,4999950000,4999950000
100000,3,3,24.188151,4999950000,4999950000
100000,3,4,23.558637,4999950000,4999950000
100000,3,5,21.834152,4999950000,4999950000
