tamanho,estado,rodada,tempo_execucao,comparacoes,movimentacoes
100,1,1,0.000002,356,1028
100,1,2,0.000001,356,1028
100,1,3,0.000001,356,1028
100,1,4,0.000001,356,1028
100,1,5,0.000000,356,1028
100,2,1,0.000004,545,1299
100,2,2,0.000003,540,1293
100,2,3,0.000003,526,1292
100,2,4,0.000003,539,1294
100,2,5,0.000003,541,1284
100,3,1,0.000002,316,1344
100,3,2,0.000001,316,1344
100,3,3,0.000001,316,1344
100,3,4,0.000001,316,1344
100,3,5,0.000001,316,1344
1000,1,1,0.000011,5044,15020
1000,1,2,0.000009,5044,15020
1000,1,3,0.000009,5044,15020
1000,1,4,0.000011,5044,15020
1000,1,5,0.000013,5044,15020
1000,2,1,0.000053,8704,19339
1000,2,2,0.000052,8734,19335
1000,2,3,0.000040,8703,19348
1000,2,4,0.000039,8683,19349
1000,2,5,0.000039,8734,19363
1000,3,1,0.000012,4932,19952
1000,3,2,0.000010,4932,19952
1000,3,3,0.000011,4932,19952
1000,3,4,0.000010,4932,19952
1000,3,5,0.000011,4932,19952
10000,1,1,0.000117,69008,202624
10000,1,2,0.000104,69008,202624
10000,1,3,0.000118,69008,202624
10000,1,4,0.000114,69008,202624
10000,1,5,0.000116,69008,202624
10000,2,1,0.000563,120443,261693
10000,2,2,0.000655,120429,261762
10000,2,3,0.000565,120574,261875
10000,2,4,0.000559,120324,261818
10000,2,5,0.000511,120272,261734
10000,3,1,0.000134,64608,267232
10000,3,2,0.000137,64608,267232
10000,3,3,0.000135,64608,267232
10000,3,4,0.000135,64608,267232
10000,3,5,0.000142,64608,267232
100000,1,1,0.001481,853904,2522832
100000,1,2,0.001454,853904,2522832
100000,1,3,0.001286,853904,2522832
100000,1,4,0.001305,853904,2522832
100000,1,5,0.001211,853904,2522832
100000,2,1,0.006410,1535948,3282838
100000,2,2,0.006328,1536682,3282846
100000,2,3,0.006548,1536704,3282257
100000,2,4,0.006483,1536444,3282711
100000,2,5,0.006334,1536183,3282890
100000,3,1,0.001586,815024,3337856
100000,3,2,0.001561,815024,3337856
100000,3,3,0.001550,815024,3337856
100000,3,4,0.001611,815024,3337856
100000,3,5,0.001549,815024,3337856
